Leader Name	Nation Name	Alliance	Score
Marines	Maharlika Philippines	None	268.37
Brian Boru	Kingdom Of Ireland	The Fighting Pacifists	1,876.00
Gobi	United Gobi	Moonlight	2,323.00
DemonReaper	Nemesis	The Commonwealth	2,575.00
ArthurPendragon	Britain	None	485.10
Ron Law	Australian Confederation	None	83.42
Soundwavesghost	Quintessa	None	221.68
Gumball Watterson	Elmore	None	77.91
5267w	Soviet Prussia	Deathly Hallows	2,020.83
Elder	The state of Maunta	None	297.18
Jay Richards	New Crimea	None	504.92
Rubes	The Republic of Rubin	The United Armies	2,085.55
Joshie	Joshland	The United Armies	806.64
Vladimir Tukachevsky	Empire of Russia	None	352.11
carro	communist republic of africa	One is the loneliest number	542.16
NotAsEasy	Easy	None	520.15
David of Israel	Ancient Israel	Typhon	695.50
Misho	Free States of Misholand	Code of Honor	949.43
michaelx	granwyn	None	313.24
Sapien	Publica comitatu	The Fighting Pacifists	2,119.14
Shah	Home for All	Abdul Fakkadi Super Alliance	532.98
Padme Amidala	Naboo2	None	240.24
Lucio Malfoy	Santa Lucia	One is the loneliest number	69.27
Moderate Manager	The Nation of Mderatia	None	359.52
Lex Amicla	Aussie SPQR	The Knights Radiant	1,326.57
Pravda	PR of united workers	None	205.03
Xherik	Geneve Republic	None	273.61
Ryan W Clark	Arckania	None	612.00
Levi Bishop	United Commonwealths of NA	None	200.01
Captain a21	A21 empier	None	262.37
Joshua Gomez	States of Peace	None	256.52
Kiala Roundhill	Nirvania	None	370.42
ZeroOne	01Nation	The Commonwealth	2,717.50
Kino	Daugon	None	630.25
Feli	Republic Of F	None	522.97
Octaxium	Nisurovia	None	141.50
PUPU	KUKNALIM	Federation of Commerce States	2,005.50
Jaime Jimenez	Castile	The Enterprise	2,173.00
Reeve Taylor	Atlantica	None	540.76
Grant Smith	KeatonP87	Camelot	1,454.45
Jguy	The Imperium	None	1,024.17
Nashnwo0	Nash World	The Knights Radiant	2,100.00
Aappa Vuohccan	Gonagasriika Saapmi	None	314.26
Piotr Lincoln	Dorton	None	79.99
ChaosKnight	Crazy Horse Nation	None	641.68
Pargat Singh	Indiaa	The Commonwealth	2,065.00
Austin Kinds	Republic of The Woods	None	280.85
Big P	Pland	CLOVER KINGDOM	564.35
Sparkz	Demacia	None	430.75
Carlos I	Nuevo Puerto Rico	None	474.94
Diabolus	Aetherium Benevolentia	The Federation	2,195.12
AlexZ	Inguza	The Fighting Pacifists	1,587.13
Ashen	Ashen	Pantheon	1,828.50
Roudy	Roudy	None	280.68
Yee	WafflesV5	None	177.37
Coardten79	Communist USA	The Regiment	2,459.73
Wethan	Tantoto	None	529.15
Caseus	Galia	None	138.74
Habib Wahyudiningrat	Peoples Republic of Java	None	220.08
MR Domic	United People Of Mountains	None	353.00
Eron LXXXIV	Ribosera	Typhon	640.05
TesoMayn	Anglova	None	259.98
Winston	Airstrip One	United Socialist Nations	1,708.39
CommieKid	Socialist Republic Of Acosta	None	360.97
Die Ashen	Jaminka	None	93.02
Charles zi Britannia	Holy Empire of Britannia	None	139.89
Varius	Raterben	None	110.14
Daniel D	Danton	None	711.54
The Oceanic Council	Oceanic Socialist Republic	Petrograd Soviet	1,785.13
Kerensky	Krasnoyarsk	United Socialist Nations	320.38
Fredrick Kron	Dragotical	The Blitzers	975.07
Juan Pablo de Hostos	South Puerto Rico	United Socialist Nations	1,196.10
Van der Lienke	SouthWest Africa	The Persian Empire	737.17
Nev	Bigboy nation	None	244.63
Tams	Metroco	None	422.83
Chaos	Greater st	None	160.97
Besnik	Dastaysia	The Immortals	1,155.02
Shore	Canadian Empire	None	89.68
Two Chains	Summum Imperium	None	676.54
Yeah boi	rusty	None	430.08
Ro de nore	Erosna	None	110.86
Zeroth	Fak Lands	North Point	2,109.40
Tyrion Lannister	Westerosi	The Immortals	6,337.50
Atlas	The Stars of Pleiades	None	384.62
Rocket Man	Elton	None	326.58
Azuil	United Earthen Republic	None	315.56
Viktor Kas ov Void	Imperium of The Farseen	Brotherhood of the Clouds	2,567.50
Carson Fyrestol	Cityopolis	None	87.18
Fahes	Kekaisaran	United Alliance for Freedom	592.28
James Howardson	Busna	None	393.32
Blackburn	Belcrest	Rose	1,327.20
Greater Toronto	Workers Republic of Ontario	United Socialist Nations	840.67
Crashcash34	The New Order of Potato	None	676.68
Darend Tipesno	SSI of the Hoplite	None	479.68
Hassan	Democracy of Egypt	None	502.59
Nicci	Jigland	None	142.01
Boris Savinkov	Russian National State	None	317.66
Zelda	Lorule	None	606.79
Forant	Tapht	None	158.79
Rodman	Fututro Brasil	None	253.84
Ido	Centaurus	The Enterprise	2,159.90
Imanuil	Mindanao Enclave	None	15.25
Horatio F Knox	Republic of Liberty	None	254.30
Josudavi	Republic of Kiemhomterra	Pantheon	1,103.09
Frigg	Vahalla	Camelot	1,941.50
Azann Kalandir	Elvato	un -united nations	290.67
Theodomir	Regnum Italiae	The Knights Radiant	300.00
Amira	Aesiir	None	468.19
Zevo	Cartilage Kingdom	House Arryn	1,104.34
Alex sideboard	United sideboard republic	Shark Tank	327.72
Symon Phoenix	American States of Symon	None	336.18
Abioye Kerensky	United Communists Alliance	Communist Nations of Orbis	386.77
Samuel D Barclay IV	Persilious	None	877.43
Hyalucent	East Uppersnatch	None	377.25
Grant Hermin	Midland Republic	None	84.89
hoodie901	Fairviolet Lake	None	1,012.66
King Breznev	Democratic Federation	None	152.55
Fetro	Swizzle	The UnOriginals	450.71
Zimo	Depraved	None	336.44
Karlzi	Old StrongHold	None	389.05
Iven Delo	Black Mountain	United Purple Nations	1,083.36
Jono	Hoton	None	1,436.13
Norm	Gigglistan	United Alliance for Freedom	339.95
Kita Hetalia	Hetalia	None	5.50
Xiaoping	The House of Lenin	None	4.73
Reivax	Ovaldo	None	479.56
Ayatollah Chamran	Islamic Republic of Al-Hawf	None	77.53
Rhodri Mawr	Brythoniaid	None	760.56
Lee II	Nashville	The Commonwealth	3,589.00
Modern Maurya	Greater Hindustan	None	1,240.87
Alexdesade	Unny	None	171.05
Bearson	Imperial Federation	Advanced Syndicalist Mechanics	2,083.50
Tim	Tyranny Town	Nova Corp	508.77
Neptia	Vacare	None	254.69
Rafa	Costa Dema	None	886.53
Yeet Skeet	Abadi Caliphate	Nova Corp	2,992.25
Casey McEwan	The Soviet Union USSR	Communist Nations of Orbis	116.95
Rey	Hispaynua	The Commonwealth	1,992.50
Sarutobi	The Kingdom of Dubh Linn	None	424.75
Mlawa	Commonwealth_of_Mlawa	None	363.72
Ramiro I	Kingdom of Aragon	None	403.68
Lietpold Horst	Greater Sterbeland	None	194.92
blap	boop beep blop	None	350.98
Kentozuke Nagoku	Federative Union	None	540.95
Waldo the Greater	RavenStone	Rose	1,558.30
stoick	valkenheim	None	611.64
Caden	Lyon	None	854.74
Ryan X	Riraq	None	359.44
Newton	Vasquez	Nous Voyons	204.10
Matteo Winandy	Le Blu	Schrute Farms	1,463.30
Boris Jhonson	principality of wales	The United Armies	611.53
Vuts	Viterbolandia	None	112.54
Krabz	Goofy Goober	None	527.70
Domitia	Imperius Empire	None	82.50
Rhys I	Tierra	The Commonwealth	2,622.50
Treyton	Treytonian Empire	None	182.58
Zionlandia	Zamnitedlamenthe	None	557.48
Zenith Writ	Paragon	None	280.21
Achilles	Hellenic Imperium	None	370.62
Shado	Shadowvien	None	659.51
Cubic	New Cubician Republic	None	245.71
Jovan Milosevic	Kraljevina Srba i Hrvata	None	259.49
Arthur Imilia	Fortnum	The Knights Radiant	1,496.00
Aydin I The Great	Magayaad	None	300.76
Jacob K	Waka	None	386.19
Deaf Jaeger	Refordia Republic	Brotherhood of the Clouds	2,654.50
Fredwin	Supreme Empire of Fredwin	None	433.65
Seolfor	Titannia	The Commonwealth	1,445.36
OmodaMonji	Mirama	None	337.06
Nikita Piven	Turkmenia	None	348.95
Punnag	The Republic Of Punnag	None	223.84
Mikrowelle	Gootzland	None	260.45
Ulrich	Reno Caca	Umbrella Corporation	541.24
Duke of Leinster	New Frisland	Polaris	1,348.28
PercyG	Ruby Hub Vault 42	None	540.02
Tannen Dostrov	Liza	International Trade Association	217.01
Ian Barry	De Barra	The Immortals	2,650.00
Anaxander	Lato	United Earth	851.06
Konstantinospalaiolo	Byzantium empire	None	603.88
Vero	Alyeska	The Enterprise	1,803.97
Vesper	Ceslovakia	None	1,037.00
GandolfTheWorst	Venetioa	Arrgh	1,050.98
Nicolas I	South Vietnam	Ming Empire	2,567.50
Deos	Ex Machina	None	626.05
Lord Zuko	THE HOLY LAND OF BRITANIA	Federation of Commerce States	1,584.00
Pharisti	Maerceci	None	376.95
Dom Akashi	Liberturg	None	267.20
Beady	New Atlantic	League of Democratic Nations	549.51
Mott	Mott	None	24.25
Ryan Thompson	Graznavia	None	335.84
Thorin II	Durins Folk	The Lost Empire	299.73
Zilhelm II	The Zacisnian Empire	The Fighting Pacifists	666.45
CantingWall	Polish Confederation	None	138.36
Kryptec Bloodaxe	KRYPTEIA	None	575.09
Seth Drez	Vermillion Soviet Empire	The Federation	1,614.00
Fabian den store	Fabiania	None	255.30
Nigel Phillips	The Independent Falklands	None	129.89
Tome Yume	Terminal Dogma	None	16.52
fredy	fredrick	The Hanseatic League	1,281.46
Doe	Unified Territories	The Commonwealth	1,499.59
MrHouse	The Holy Nation of Forta	None	472.89
GrimOmen	Godlands	None	191.96
SolidSnake	The Outer heaven	None	516.84
Lancer	Vailion	Si Hong	2,386.64
Carlos Povo da Prata	Estoral	None	304.66
Empiur	Ozeki	Weebunism	2,624.65
Kalju	Narva	The United Armies	1,730.00
Jimmy Johns	Republic of Mathun	None	53.00
Allah muhhamed Derka	Derka Derka Land	None	83.62
Rai	Tandeg Suci	None	348.53
Wizel16	Cardinals Nation	The Knights Radiant	2,210.00
Tigger	Poptropica	None	1,167.15
Mihail Justinian I	Republic of Onivlac	None	510.00
Charlie Manning	The Lost Kingdom	The Center Of Offbeat Powers	467.05
Sammie	Tortuga	None	518.37
PeeledTurnip	Pikmik	Brotherhood of the Clouds	2,060.00
Kale E Costlow	Communist Republic of Canada	None	315.46
Reinhard Lohengramm	The Lohengramm Dynasty	None	451.99
Jun Samith	Union of Egypt	None	345.06
Simole	Middle Korea	None	78.72
Sir England Moral	Revolutionary Philippines	The Immortals	1,065.72
Kassym-Jomart Tokaye	Free Kazakhstan	Peoples Union Of Communist Nations	1,541.60
Marcus	Hogland	None	220.59
Broco	Khrysalis	None	378.65
Lafayette	Glasscock	None	621.99
Stitler	National Socialist Russia	None	71.92
Stryker1510	Lysia	None	538.56
Hoffmann	Kingdom of Militarismu	European Union	393.92
Bushler	Bushlandica	None	918.47
Maddie McCann	Free Sheffield	None	128.51
Dexter	NorthEngland	None	142.45
Joel Rusnica	Salystamia	None	60.19
Soumavo Banerjee	Communist India	None	110.72
Chuck Winning	Federal States of America	None	382.17
Mizuka	Kitsake	None	61.97
Lucianus	Luciana	Rose	2,043.00
Srikanth	Republic of India	None	63.75
Noah yehualashet	Great Abissinia	None	5.50
Vivek Kumar Jha	Vivstan	Church Of Atom	1,095.00
Aurelius	United Great Lakes Republic	None	563.76
Diggel	Dixierekt	None	387.55
Baphomet	Aphinity	None	364.30
Bree	The Vaegirs	CLOVER KINGDOM	1,674.00
Thames	JOhn cena	None	155.13
Dante	Dedith	Typhon	1,090.09
Dan Law	Progression	None	805.77
Hendo I	Kamotel	None	438.03
Hyperion Caesar	Harhom	None	343.07
Charlse	Charlaktin	None	365.39
Bails	Vesparum	Advanced Syndicalist Mechanics	2,955.00
Howhigh	Delair	None	426.90
-seajay-	chicken nugget empire	None	557.38
Jacob Apple	Apple Empire	Schrute Farms	2,822.25
Conroy jr	New amerika	Elite Democratic Republic	740.75
Michael76	Oill	Deathly Hallows	507.27
Leader Alpha	Chaosica	None	289.42
Kiots	Vullania	None	104.75
Vladimir D Koshkin	Crunid Socialist Republic	None	369.24
PP Nutz	German Republic	New World Order	199.44
Previs Pasley I	Shipgod	None	334.95
GuyInHiding	The Hackintoshers	None	301.97
Vundir	Peacetopia	Schrute Farms	1,203.75
Aethelfrit	Norbanhymb	None	808.33
Lich King	Grim	Ignis Aternum	992.87
Scirpius	Ensromia	The United Armies	1,088.75
Dylan The Holy	Dylanlandia	None	495.84
Wendle	Wuffles	Camelot	1,138.69
TheNanoMachi	Waterloo	Dark Brotherhood	1,626.69
Kuchstein	Flensbar	The Lost Empire	799.83
Dwight k Schrute	Schrute plague	Schrute Farms	6,099.08
Emperor of Man	Imperium of Mankind	None	449.05
Dachsavar	Assguard	None	1,415.61
Bradley	Amestris	None	151.92
Captain Catz	Cats	None	911.38
Mad Ashton	Lunaris	None	358.33
Chromex	Chromolus	None	451.43
Buggy	Bugaria	Deathly Hallows	1,570.00
BinaryVolt	Borto	Weebunism	1,145.62
zphe	Soul	The Knights Radiant	2,245.00
Morgan 03	Red Dwarf	None	1,264.35
9invader	New Land	Attrition	277.14
224	Etad Paceam	Kazoku	656.68
Yasin	Yasinspore	None	207.54
DailyCacti	Pennsylvania Federation	None	82.64
Bvv	Vibranium Land	None	541.92
Charles Sanders	Zynstannia	None	197.25
Atyom	Zatonia	None	96.17
Dirk Strider	Homestuck	None	729.07
Ymabal	Fungurd	None	613.60
Nilsyno	Nordica	The North Atlantic Empire	772.60
Ben	Simbourg	None	205.41
Silv Othaun	Bolgard	None	236.71
Thinkpitz	Republic of Cirnos	Weebunism	2,022.20
Oswald	OsWorld	None	237.62
Eveny	Origo	None	285.36
Devin	Devinia	None	1,467.31
Sir Kindle	New American Kingdom	Arrgh	684.92
Nishorgo Mostofa	The Empire of Mostofa	None	440.05
B1ak3	Fusi0n	Acadia	1,713.75
Edward LXV	Round Island	League of Democratic Nations	465.02
Ogilvie	Far left democratic nation	None	123.12
Max Wittgenstien	Avalon	None	586.14
JustinM	Justonia	None	607.50
Xyzal	Xyzland	None	319.12
Land	Greater Land	None	117.14
Adrik Ivanov	Cykaland	None	182.39
Tycho	Genesis	Money is Offshore	382.69
Jimmy Buffett	Tampa bay	None	683.42
Orm	Wyrmbania	None	324.63
Georg Friedrich I	Freistaat Neu Preussen	None	65.81
McRib	FireNation	New World Order	201.17
Kelissa	Rusikraineia	None	335.75
Bean Apple	Fuju Land	None	137.04
Boris Borisoffsky	Perania	None	214.32
Nerd	Nerd	None	58.25
Josephi Krakoski	Pancake Land	None	245.53
Rudolph Tachankev	Brussaria	Communist Nations of Orbis	97.26
Peter Littlehorn	American Indian Movement	Arrgh	921.32
Aaron G	Tijuana Le Grande	Vanguard	373.93
A guy with a beard	Pirate Nation	None	363.25
Strato	Air Strip One	None	200.00
Homero Garza Jr	Sheboyganite Union	None	105.75
Wolf	New wolfland	Atlantis	556.45
Szeth	Shinovar	The Knights Radiant	1,172.50
Stalin The II	CCCP	United Socialist Nations	1,423.12
Matthew Maslov	United States of Orangewood	United Alliance for Freedom	32.64
Mordon	Mordka	None	63.77
Protector	Brave-New-World	Pantheon	1,672.86
Isidoo	ISI land	None	1,194.24
Janizos	Jussaro	None	126.39
Goiteau Dryzyuda	Azyabada	New World Order	367.53
SLOBO THE GREAT	Serbo-Bulgarian Union	None	533.47
Leroy jenkins	Triumphi	Typhon	501.25
Soheyl	Stars	Solo players	987.01
Versatile Difficulty	Alcove	None	116.99
GrandBaby	DingDongLand	Farkistan	3,206.75
BlueDippy	BlackWaterCorporation	Terminus Est	2,120.00
Natgar Tamsin	Lomad	None	843.35
Nikolai	The United Pacific Northwest	None	596.30
Sir henery	United Canadian Provinces	None	137.20
hugoRaud	hugoRaud	None	422.68
Coumo	New York	None	427.73
Julius Sprouse II	Bizintine	None	266.79
Michaelwwe	Count Poland	None	135.53
Ai Hayasaka	Justice for Hayasaka	None	5.50
Nichlas Aasen	Leichborg	None	126.11
Erik Skaug	Cansa	None	440.59
Hilary Clinton	The United States of Hell	None	156.18
Balian	Kingdom of Jerusalem	None	387.75
Ray Khan	Rumeria	Pantheon	465.50
Blade	Iron Nation	None	282.76
Mooch	Marinello	None	366.68
Joseph	San Qui	North Atlantic Treaty Organisation	270.08
mrkiner	Ukraine_s	None	598.09
Willhelm ll	Terosa	None	59.32
Sang Amurwabhumi	Singosari	None	814.08
Dienno Ollikainen	Aklatar	None	380.44
Ian Smith III	New Rhodesia	None	61.12
Murari	Bharata-varsha	World Task Force	4,032.50
Masher	Cassadia	None	354.84
Christopher Woods	Framptonia	The Hanseatic League	912.32
Larry Helsinki	Orange Empires	None	438.27
A Kennedy	New Zealand	None	178.77
Trung	Greater Vietnam	None	65.33
Cravarious	Starving	Solar Knights	591.56
dankmemer	Dravida	None	654.89
Arch	ArchAngel Coalition	Rose	2,427.75
Ryan III	Angloland	None	220.00
Smalls	Irexit	None	1,275.56
Nikhil	United States of Ital	None	322.73
Cole Visser	Visser Empire	None	410.54
Tenzin Druk	Drukpa	None	214.88
Lithuanians	Lithuanian Reich	None	332.38
Hans Mokli	The Great Lakes	None	388.41
Ivan Hristov	UBNL	None	295.89
johon willum	isla sorna	Knights Templar	214.82
Arora	Aroresia	None	297.78
August Forglen	Mavratia	None	156.68
Night Night	Candles	None	769.95
Bartholemew Nexes	Nexercia	None	99.12
JJW	Shangyang	The Commonwealth	2,290.00
Donjoni Talisaysay	New Maharlika	None	112.88
Sir Chuaqui	Rishi	None	305.97
Pantan	Rollon	Typhon	619.72
Timothy	Nigerian	The Knights Radiant	1,140.16
Thien Duyen	Tieu Minh	None	25.43
William Janus	United Republic of Aster	The Fighting Pacifists	1,997.50
wifu akuma	the little garden	None	214.22
Bill Clinton	Forte	None	341.37
Vuulkor	Kandaria	None	293.55
Baka	Mustard Cat	None	247.67
DankWeed	Sledgangistan	None	254.83
StalinBoi	The Stalin Republic	None	259.37
Daniel IV	Nehrman	None	53.00
Ragnar	Bathurst	None	719.16
Ekrem	Ottoman Republic	None	382.96
Numnum	The Numnum Archipelago	None	300.47
Jakuu	Wokanda	None	476.70
Jonas Antunes	Rep Federativa do Brasil	None	319.63
Psyclone	Canadaland	None	422.17
Yaman	Oceanagua	The Socialist State Alliance	253.81
Muhammad Bilal	United KingStates	None	478.24
Reece	The Nation of Reeceianity	Empyrea	1,619.15
thunderfast14	New kirk	None	62.18
andubiel	Zealandia	None	442.03
Saloph	Statessacaran	None	2,554.95
Yung	Emperorgroup	None	424.26
Sakura	The New Geligi	Teutonic Order	1,752.81
Frederick von Smith	Frisa	Weebunism	500.94
Arthurr	vicryl	None	490.62
Zeldris	Deadly Sin	Teutonic Order	1,569.06
Xizei Moyu	Buttkis Island	None	102.13
Aziz boulehfa	Mohammedia	None	404.60
aaqrPL	Silesian Autonomy	Chromosome Crusade	554.53
Iridian	Ennorath	None	118.35
blue-gum	Komi Republic	Spartan Brotherhood	2,218.43
Kevin Sangmuah	Ottowa	None	566.60
naxcel	truro	millingco	803.46
Mangy	United pacific	None	163.84
Dre	Royal Drenth	Dark Brotherhood	1,984.43
Primmus	Nicomaco	None	519.71
Thomas Kingston	Republic of Nolygon	None	590.76
Llyr	Tyrhennia	None	173.95
Furytot	Furytopia	Dark Brotherhood	1,870.00
5GBRAND	Tarleton	None	92.42
herczeg	Hungary	None	109.96
Travatar	Kingdom of Lavar	Spartan Brotherhood	1,004.07
Diego Yanez Silva	Federal Venezuela	None	281.05
Darius Monotonous	Otrean	None	554.92
Harold Hydes	Liberal Republic of Canada	None	527.13
Vildermore	Wilterstan	None	1,190.75
Efstathios	Modern Eastern Roman Empire	None	312.67
Shawn	Republic of West Virginia	None	220.10
Meme Zedong	New Peoples Rep of China	None	946.70
Wilson	Reden	cobra	120.00
Dick richard	Lertopia	Vanguard	521.82
Sip Stern	Sip Land	None	292.23
rexer	hugaria	mercenaries	496.16
Michal	Mechelia	None	76.42
Cosmos	Bobdom	The Fighting Pacifists	3,261.15
Breadsticks	Bredland	None	278.84
Jack Tree	The Palm Empire	None	263.32
Teddy Gao	TeddyCity	Camelot	700.76
Brandon	The Holy Britannia Empire	Schrute Farms	3,445.00
Tempest	Taradradris	The United Armies	2,326.00
Nodaz	The Republic of Green Bay	Dark Brotherhood	1,849.28
NightOwl	Fortified States	None	186.23
Praesul	Liberta	The Federation	1,124.43
John Murphy	Republic of Ireland	The Co-Prosperity Union	275.24
Gummerz	sendiland	The Fighting Pacifists	2,905.50
Aggeremid	Akropolia	Teutonic Order	2,312.49
Hana	Pagan Empire of Japan	The Fighting Pacifists	1,069.81
Nicholas I	London	Rose	1,591.26
Fredrick William V	New State of Prussia	None	327.09
Georgy Malenkov	Democratic Belarus	None	975.22
Cromwell	Goodly	The Fighting Pacifists	1,339.50
Heath	Anglia	The Knights Radiant	1,529.97
taylor	darklingtopia	None	83.00
Catherine	Sciotus	None	752.58
cheng	Kingsville	None	118.00
Fenn	Haylith	None	189.42
Salahuddin	Ayyubid Sultanate	None	1,444.25
Luke A	Reformation of the Republics	The Lost Empire	1,387.43
Tao Yi Kui	Akseataker	The Pyramid Corporation	459.71
Tememe	New Tememia	None	555.61
Heinrick Archsider	New Lokaira	Arrgh	896.02
Gaspingi	Spaghetti weeny	None	278.28
dmitry	world of banans	None	203.33
Satti	Kohsar	Burger Union	1,090.82
Quique	Meisterland	The Warriors	477.89
Amonel	Ibekho	None	191.66
Kikujah	Khangaeryu	None	95.65
Organ	Skeleton	Typhon	694.32
Benevolence	Cherithim	The Fighting Pacifists	1,601.12
Floof	United Weebs of Anime	None	187.76
Stanley Cox	Versace	None	210.65
Zig	Ziggaroot	Alpha	6,411.53
Baconace	Honey Badger Republic	None	471.64
King Albert Rhodri	The First Kingdom of Norfolk	None	429.43
colton rissmiller	The Kingdom of Redcliff	None	158.98
ImSatanJunior YT	Soviet Sussex	Spartans	644.57
Woolf	Woolftopia	None	101.48
Passon II	Daltosha	None	321.30
Baki Hanma	Alnus	None	414.76
Hugh Janus	Fich Dich	None	490.18
Cinis	gailand	None	635.73
Eccentric Socialist	US Socialist Republic	None	541.60
Anthony	-Arstotzka-	None	149.49
Damo	Avamlia	None	1,244.18
king Beshy the 3rd	Sudan stinks	The Empire of the Moonlit Sakura	293.78
eyu	yweif	None	76.34
LeKraken	SeaKoule	None	247.03
Alexander Griffin	Quenteno	None	324.13
Ri-Nyk	Elsweyr	Chromosome Crusade	886.56
Lorenzo	Los Campos	None	123.38
Orca	Whale	Morningstar	1,814.36
Donald Trump	Divided States of Embarasmnt	Camelot	2,622.50
Klaus Wulfenbach	The Mighty Wulfenbach Empire	None	1,516.95
Jukka Laaksonen	Hamarhia	None	267.40
Restresto	Florence of Italia	Spanish Armada	6,290.00
Thomas Villeneuve	Summermont	None	128.29
Michael Baratheon	Carensians	Horsemen	4,112.00
Ceil Phantomhive	Azmania	Code of Honor	648.44
Jacob Hanson	Serbania	None	8.97
Rampaging Rhino	Ragurvark	None	21.75
Jarl Ballin	Theocracy of Big Smoke	None	101.32
Edgariux	DemonOar	The Radicals	624.54
